variable,years,short_desc,long_desc,sources,category,plaintext_cite,bibtex_cite,plaintext_cite2,bibtex_cite2,plaintext_cite3,bibtex_cite3
termlim,1990-2000,Legislative term limits,"Did state adopt legislative term limits? (0 = no, 1 = yes)","Boehmke, Frederick J., and Paul Skinner. 'State policy innovativeness revisited.' State Politics & Policy Quarterly 12.3 (2012): 303-329.",government,"Boehmke, Frederick J., and Paul Skinner. ""State policy innovativeness revisited."" State Politics & Policy Quarterly 12.3 (2012): 303-329.","@article{boehmke2012state,
  title={State policy innovativeness revisited},
  author={Boehmke, Frederick J and Skinner, Paul},
  journal={State Politics \& Policy Quarterly},
  volume={12},
  number={3},
  pages={303--329},
  year={2012},
  publisher={SAGE Publications Sage CA: Los Angeles, CA}
}",NA,NA,NA,NA
appointment_of_commissioners,1921-1955,"Creates commission on uniform state laws, and procedure to appoint commissioners",0 = policy not adopted 1 = policy adopted,"Uniform Law Commission website:  http://www.uniformlaws.org/
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7",government,"Boehmke, Frederick J., et al. ""State Policy Innovation and Diffusion (SPID) Database v1. 0."" Data File and Codebook]. Harvard Dataverse 10 (2018).","@article{boehmke2018state,
  title={State Policy Innovation and Diffusion (SPID) Database v1. 0},
  author={Boehmke, Frederick J and Brockway, Mark and Desmarais, Bruce and Harden, Jeffrey J and LaCombe, Scott and Linder, Fridolin and Wallach, Hanna},
  journal={Data File and Codebook]. Harvard Dataverse},
  volume={10},
  year={2018}
}",NA,NA,NA,NA
facsimile_signatures_of_public_o,1958-1999,Permits the use of facsimile signatures by public officials whose signature to a public security or instrument of payment is required or permitted,0 = policy not adopted 1 = policy adopted,"Uniform Law Commission website:  http://www.uniformlaws.org/
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7",government,"Boehmke, Frederick J., et al. ""State Policy Innovation and Diffusion (SPID) Database v1. 0."" Data File and Codebook]. Harvard Dataverse 10 (2018).","@article{boehmke2018state,
  title={State Policy Innovation and Diffusion (SPID) Database v1. 0},
  author={Boehmke, Frederick J and Brockway, Mark and Desmarais, Bruce and Harden, Jeffrey J and LaCombe, Scott and Linder, Fridolin and Wallach, Hanna},
  journal={Data File and Codebook]. Harvard Dataverse},
  volume={10},
  year={2018}
}",NA,NA,NA,NA
faithful_presidential_electors_a,2011-2015,Require delegates in Electoral College to vote in accordance with voters,0 = policy not adopted 1 = policy adopted,"Uniform Law Commission website:  http://www.uniformlaws.org/
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7",government,"Boehmke, Frederick J., et al. ""State Policy Innovation and Diffusion (SPID) Database v1. 0."" Data File and Codebook]. Harvard Dataverse 10 (2018).","@article{boehmke2018state,
  title={State Policy Innovation and Diffusion (SPID) Database v1. 0},
  author={Boehmke, Frederick J and Brockway, Mark and Desmarais, Bruce and Harden, Jeffrey J and LaCombe, Scott and Linder, Fridolin and Wallach, Hanna},
  journal={Data File and Codebook]. Harvard Dataverse},
  volume={10},
  year={2018}
}",NA,NA,NA,NA
management_of_public_employee_re,2005,Provide legal rules that permit public employee retirement systems to invest their funds in the most productive and secure manner,0 = policy not adopted 1 = policy adopted,"Uniform Law Commission website:  http://www.uniformlaws.org/
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7",government,"Boehmke, Frederick J., et al. ""State Policy Innovation and Diffusion (SPID) Database v1. 0."" Data File and Codebook]. Harvard Dataverse 10 (2018).","@article{boehmke2018state,
  title={State Policy Innovation and Diffusion (SPID) Database v1. 0},
  author={Boehmke, Frederick J and Brockway, Mark and Desmarais, Bruce and Harden, Jeffrey J and LaCombe, Scott and Linder, Fridolin and Wallach, Hanna},
  journal={Data File and Codebook]. Harvard Dataverse},
  volume={10},
  year={2018}
}",NA,NA,NA,NA
military_and_overseas_voters_act,2011-2015,Simplifies absentee voting for military and civilians abroad,0 = policy not adopted 1 = policy adopted,"Uniform Law Commission website:  http://www.uniformlaws.org/
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7",government,"Boehmke, Frederick J., et al. ""State Policy Innovation and Diffusion (SPID) Database v1. 0."" Data File and Codebook]. Harvard Dataverse 10 (2018).","@article{boehmke2018state,
  title={State Policy Innovation and Diffusion (SPID) Database v1. 0},
  author={Boehmke, Frederick J and Brockway, Mark and Desmarais, Bruce and Harden, Jeffrey J and LaCombe, Scott and Linder, Fridolin and Wallach, Hanna},
  journal={Data File and Codebook]. Harvard Dataverse},
  volume={10},
  year={2018}
}",NA,NA,NA,NA
model_state_administrative_proce,1968-1986,Provides procedures for promulgating administrative regulations,0 = policy not adopted 1 = policy adopted,"Uniform Law Commission website:  http://www.uniformlaws.org/
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7",government,"Boehmke, Frederick J., et al. ""State Policy Innovation and Diffusion (SPID) Database v1. 0."" Data File and Codebook]. Harvard Dataverse 10 (2018).","@article{boehmke2018state,
  title={State Policy Innovation and Diffusion (SPID) Database v1. 0},
  author={Boehmke, Frederick J and Brockway, Mark and Desmarais, Bruce and Harden, Jeffrey J and LaCombe, Scott and Linder, Fridolin and Wallach, Hanna},
  journal={Data File and Codebook]. Harvard Dataverse},
  volume={10},
  year={2018}
}",NA,NA,NA,NA
prudent_management_of_institutio,2007-2012,Requires prudent and diverse investments of state funds,0 = policy not adopted 1 = policy adopted,"Uniform Law Commission website:  http://www.uniformlaws.org/
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7",government,"Boehmke, Frederick J., et al. ""State Policy Innovation and Diffusion (SPID) Database v1. 0."" Data File and Codebook]. Harvard Dataverse 10 (2018).","@article{boehmke2018state,
  title={State Policy Innovation and Diffusion (SPID) Database v1. 0},
  author={Boehmke, Frederick J and Brockway, Mark and Desmarais, Bruce and Harden, Jeffrey J and LaCombe, Scott and Linder, Fridolin and Wallach, Hanna},
  journal={Data File and Codebook]. Harvard Dataverse},
  volume={10},
  year={2018}
}",NA,NA,NA,NA
real_property_electronic_recordi,2005-2016,Give county clerks and recorders the legal authority to prepare for electronic recording of real property instruments,0 = policy not adopted 1 = policy adopted,"Uniform Law Commission website:  http://www.uniformlaws.org/
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7",government,"Boehmke, Frederick J., et al. ""State Policy Innovation and Diffusion (SPID) Database v1. 0."" Data File and Codebook]. Harvard Dataverse 10 (2018).","@article{boehmke2018state,
  title={State Policy Innovation and Diffusion (SPID) Database v1. 0},
  author={Boehmke, Frederick J and Brockway, Mark and Desmarais, Bruce and Harden, Jeffrey J and LaCombe, Scott and Linder, Fridolin and Wallach, Hanna},
  journal={Data File and Codebook]. Harvard Dataverse},
  volume={10},
  year={2018}
}",NA,NA,NA,NA
registered_agents_act_model_20,2007-2012,Provides states with one registration procedure for registered agents,0 = policy not adopted 1 = policy adopted,"Uniform Law Commission website:  http://www.uniformlaws.org/
Frederick J. Boehmke; Mark Brockway; Bruce Desmarais; Jeffrey J. Harden; Scott LaCombe; Fridolin Linder; Hanna Wallach, 2018, 'State Policy Innovation and Diffusion (SPID) Database v1.0', https://doi.org/10.7910/DVN/CVYSR7",government,"Boehmke, Frederick J., et al. ""State Policy Innovation and Diffusion (SPID) Database v1. 0."" Data File and Codebook]. Harvard Dataverse 10 (2018).","@article{boehmke2018state,
  title={State Policy Innovation and Diffusion (SPID) Database v1. 0},
  author={Boehmke, Frederick J and Brockway, Mark and Desmarais, Bruce and Harden, Jeffrey J and LaCombe, Scott and Linder, Fridolin and Wallach, Hanna},
  journal={Data File and Codebook]. Harvard Dataverse},
  volume={10},
  year={2018}
}",NA,NA,NA,NA
drecord,2006-2014,Two-party consent laws for recording public officials,"Two-party consent laws for recording public officials? (0 = no, 0.5 = statute contains exception when conversation happens in a public place/where there is little expectation of privacy/in person, 1 = yes, illegal to record public officials without their consent)","Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26.",government,NA,NA,NA,NA,NA,NA
yrstatehd,1913-2010,Year gained statehood,The year that the state gained statehood,"Boehmke, Frederick J., and Paul Skinner. 'State policy innovativeness revisited.' State Politics & Policy Quarterly 12.3 (2012): 303-329.",government,"Boehmke, Frederick J., and Paul Skinner. ""State policy innovativeness revisited."" State Politics & Policy Quarterly 12.3 (2012): 303-329.","@article{boehmke2012state,
  title={State policy innovativeness revisited},
  author={Boehmke, Frederick J and Skinner, Paul},
  journal={State Politics \& Policy Quarterly},
  volume={12},
  number={3},
  pages={303--329},
  year={2012},
  publisher={SAGE Publications Sage CA: Los Angeles, CA}
}",NA,NA,NA,NA
acounty,1977-2015,Number of county governments,Number of county governments (carry- forward imputation between censuses),"Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26.",government,NA,NA,NA,NA,NA,NA
amuni,1977-2015,Number of municipal governments,Total number of municipal level governments in state (carry-forward imputation between censuses),"Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26.",government,NA,NA,NA,NA,NA,NA
atown,1977-2015,Number of township governments,Total number of township level governments in state (carry-forward imputation between censuses),"Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26.",government,NA,NA,NA,NA,NA,NA
agen1,1977-2015,"Number of general county or county-like governments, such as independent cities","Number of general county or county- like governments, such as independent cities (carry-forward imputation between censuses)","Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26.",government,NA,NA,NA,NA,NA,NA
agen2,1977-2015,"Number of general second- tier local governments, non-overlapping","Number of general second-tier local governments, non-overlapping (carry- forward imputation between censuses)","Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26.",government,NA,NA,NA,NA,NA,NA
agen3,1977-2015,Number of general third-tier local governments,Number of general third-tier local governments (carry-forward imputation between censuses),"Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26.",government,NA,NA,NA,NA,NA,NA
